run,model,weights,epoch,val_f1,val_acc,train_loss,seed,lr,unfreeze_lr,weight_decay,batch_size,grad_accum_steps,freeze_backbone_epochs,epochs_planned,amp,random_augmentation,csv_path,val_base,test_base,val_samples,test_samples,inferred_fields
dtd_resnet50_no_blur_ep15,resnet50,dtd,7,0.8928571428571429,0.8666666666666667,0.11512146717753292,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,8,0.8727272727272727,0.8444444444444444,0.07903318810623047,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,9,0.8928571428571429,0.8666666666666667,0.0727499748474967,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,10,0.8518518518518519,0.8222222222222222,0.05513646907221844,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,11,0.8928571428571429,0.8666666666666667,0.06386836930678404,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,12,0.8928571428571429,0.8666666666666667,0.06382906461550185,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,13,0.8518518518518519,0.8222222222222222,0.04256292192403935,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,14,0.8727272727272727,0.8444444444444444,0.04547288558720393,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,15,0.8727272727272727,0.8444444444444444,0.03709284360866901,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_seed13_ep11,resnet50,dtd,1,0.7837837837837839,0.6521739130434783,0.6799393655502632,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,2,0.8923076923076924,0.8478260869565217,0.5920783242134199,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,3,0.9206349206349206,0.8913043478260869,0.4659868697597556,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,4,0.9180327868852458,0.8913043478260869,0.3329749487034262,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,5,0.9180327868852458,0.8913043478260869,0.2688870553692726,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,6,0.9,0.8695652173913043,0.2017210207573355,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,7,0.9,0.8695652173913043,0.21770046614620783,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,8,0.9,0.8695652173913043,0.19239900795972512,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,9,0.8571428571428572,0.8260869565217391,0.2056238396935267,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,10,0.9,0.8695652173913043,0.12989582423477958,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed13_ep11,resnet50,dtd,11,0.8813559322033899,0.8478260869565217,0.09252584201015839,13,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,1,0.7945205479452054,0.6739130434782609,0.670845597737456,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,2,0.8125,0.7391304347826086,0.5843250604525004,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,3,0.8437500000000001,0.782608695652174,0.4512286080073004,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,4,0.8524590163934426,0.8043478260869565,0.3579286033160066,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,5,0.8387096774193549,0.782608695652174,0.30508972561522707,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,6,0.8524590163934426,0.8043478260869565,0.2581438078455729,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,7,0.8666666666666666,0.8260869565217391,0.23339754788026418,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,8,0.8387096774193549,0.782608695652174,0.17472408277122942,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,9,0.8387096774193549,0.782608695652174,0.121695605838952,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,10,0.8620689655172413,0.8260869565217391,0.21711266407207266,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11,resnet50,dtd,11,0.847457627118644,0.8043478260869565,0.12623728282035213,21,,,,,,,11,,False,ground_truth261.csv,46,46,46,46,"seed,epochs"
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,1,0.5651978012075336,0.691358024691358,0.6178791283447052,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,2,0.8808259983426281,0.8888888888888888,0.5209928341558047,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,3,0.8905044909891718,0.8888888888888888,0.35682639340373956,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,4,0.9140382212277637,0.9135802469135802,0.25625347476046406,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,5,0.8680095299978341,0.8641975308641975,0.15887469192531622,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,6,0.844735361218275,0.8395061728395061,0.1149820339549739,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
